Version.[Version Name],DC,Warehouse,Store,Time.[Week],Item.[Stat Item],Actual
CurrentWorkingView,106446,106406,40101,04-Apr-22,010160,855
CurrentWorkingView,106446,106406,40101,18-Apr-22,010160,855
CurrentWorkingView,106446,106406,40101,09-May-22,010160,1425
CurrentWorkingView,106446,106406,40101,30-May-22,010160,997.5
CurrentWorkingView,106446,106406,40101,20-Jun-22,010160,1710
CurrentWorkingView,106446,106406,40101,25-Jul-22,010160,1567.5
CurrentWorkingView,106446,106406,40101,08-Aug-22,010160,1567.5
CurrentWorkingView,106446,106406,40101,15-Aug-22,010160,712.5
CurrentWorkingView,106446,106406,40101,29-Aug-22,010160,855
CurrentWorkingView,106446,106406,40101,03-Oct-22,010160,570
CurrentWorkingView,106446,106406,40101,24-Oct-22,010160,997.5
CurrentWorkingView,106446,106406,40101,31-Oct-22,010160,1282.5
CurrentWorkingView,106446,106406,40101,28-Nov-22,010160,712.5
CurrentWorkingView,106446,106406,40101,26-Dec-22,010160,1567.5
CurrentWorkingView,106446,106406,40101,16-Jan-23,010160,712.5
CurrentWorkingView,106446,106406,40101,06-Feb-23,010160,997.5
CurrentWorkingView,106446,106406,40101,20-Feb-23,010160,712.5
CurrentWorkingView,106446,106406,40101,13-Mar-23,010160,997.5
CurrentWorkingView,106446,106406,40101,03-Apr-23,010160,1282.5
CurrentWorkingView,106446,106406,40101,24-Apr-23,010160,1282.5
CurrentWorkingView,106446,106406,40101,08-May-23,010160,1995
CurrentWorkingView,106446,106406,40101,29-May-23,010160,997.5
CurrentWorkingView,106446,106406,40101,05-Jun-23,010160,1282.5
CurrentWorkingView,106446,106406,40101,19-Jun-23,010160,712.5
CurrentWorkingView,106446,106406,40101,03-Jul-23,010160,855
CurrentWorkingView,106446,106406,40101,14-Aug-23,010160,997.5
CurrentWorkingView,106446,106406,40101,28-Aug-23,010160,997.5
CurrentWorkingView,106446,106406,40101,04-Sep-23,010160,1282.5
CurrentWorkingView,106446,106406,40101,25-Sep-23,010160,570
CurrentWorkingView,106446,106406,40101,09-Oct-23,010160,855
CurrentWorkingView,106446,106406,40101,23-Oct-23,010160,997.5
CurrentWorkingView,106446,106406,40101,27-Nov-23,010160,1140
