Week,Customer Group,Item,Demand Plan
21-Apr-25,Store1,Item1,56248.56349233459
28-Apr-25,Store1,Item1,83951.2173889625
05-May-25,Store1,Item1,117793.35708747675
12-May-25,Store1,Item1,121044.95163718158
19-May-25,Store1,Item1,275822.59703660087
26-May-25,Store1,Item1,248456.32528210725
02-Jun-25,Store1,Item1,113378.46823083483
09-Jun-25,Store1,Item1,160422.54555250148
16-Jun-25,Store1,Item1,60854.39605408011
23-Jun-25,Store1,Item1,251680.08715219103
30-Jun-25,Store1,Item1,251322.65946646148
07-Jul-25,Store1,Item1,112871.8976874243
14-Jul-25,Store1,Item1,88434.80226528489
21-Jul-25,Store1,Item1,118646.43899087055
28-Jul-25,Store1,Item1,66025.27736748959
04-Aug-25,Store1,Item1,130474.64351403968
11-Aug-25,Store1,Item1,65910.84732643914
18-Aug-25,Store1,Item1,134559.19392634803
25-Aug-25,Store1,Item1,90259.5797885438
01-Sep-25,Store1,Item1,58746.75880081225
08-Sep-25,Store1,Item1,59637.07647615739
15-Sep-25,Store1,Item1,66952.1115552491
22-Sep-25,Store1,Item1,78977.69570916849
29-Sep-25,Store1,Item1,43592.441944198494
06-Oct-25,Store1,Item1,38322.14732912329
13-Oct-25,Store1,Item1,52228.43144124721
20-Oct-25,Store1,Item1,48383.593443143174
27-Oct-25,Store1,Item1,54220.92618445507
03-Nov-25,Store1,Item1,45307.86402149397
10-Nov-25,Store1,Item1,43075.75169343953
17-Nov-25,Store1,Item1,35031.01220007194
24-Nov-25,Store1,Item1,28117.133036421976
01-Dec-25,Store1,Item1,31975.28025470037
08-Dec-25,Store1,Item1,32721.41921546307
15-Dec-25,Store1,Item1,39306.82915711814
22-Dec-25,Store1,Item1,32859.59321284089
29-Dec-25,Store1,Item1,29726.65203383301
05-Jan-26,Store1,Item1,34419.60324842544
12-Jan-26,Store1,Item1,33176.12931205683
19-Jan-26,Store1,Item1,31773.55461869882
26-Jan-26,Store1,Item1,43464.58388080812
02-Feb-26,Store1,Item1,149945.3896348788
09-Feb-26,Store1,Item1,47873.85653798666
16-Feb-26,Store1,Item1,33273.36318712574
23-Feb-26,Store1,Item1,39660.44745984757
02-Mar-26,Store1,Item1,35684.29877851955
09-Mar-26,Store1,Item1,43844.36836860673
16-Mar-26,Store1,Item1,135741.90221202173
23-Mar-26,Store1,Item1,60729.056192716766
30-Mar-26,Store1,Item1,46578.6017250538
06-Apr-26,Store1,Item1,115359.0257491683
13-Apr-26,Store1,Item1,65283.875694530434
20-Apr-26,Store1,Item1,54609.64753676302
27-Apr-26,Store1,Item1,72804.91870414362
