Week,Customer Group,Item,Demand Plan,day,daily_demand
21-Apr-25,Store1,Item1,56248.56349233459,2025-04-21,8035.509070333514
28-Apr-25,Store1,Item1,83951.2173889625,2025-04-22,8035.509070333514
05-May-25,Store1,Item1,117793.35708747676,2025-04-23,8035.509070333514
12-May-25,Store1,Item1,121044.95163718158,2025-04-24,8035.509070333514
19-May-25,Store1,Item1,275822.59703660087,2025-04-25,8035.509070333514
26-May-25,Store1,Item1,248456.32528210725,2025-04-26,8035.509070333514
02-Jun-25,Store1,Item1,113378.46823083484,2025-04-27,8035.509070333514
09-Jun-25,Store1,Item1,160422.54555250148,2025-04-28,11993.03105556607
16-Jun-25,Store1,Item1,60854.39605408011,2025-04-29,11993.03105556607
23-Jun-25,Store1,Item1,251680.08715219103,2025-04-30,11993.03105556607
30-Jun-25,Store1,Item1,251322.65946646148,2025-05-01,11993.03105556607
07-Jul-25,Store1,Item1,112871.8976874243,2025-05-02,11993.03105556607
14-Jul-25,Store1,Item1,88434.80226528489,2025-05-03,11993.03105556607
21-Jul-25,Store1,Item1,118646.43899087056,2025-05-04,11993.03105556607
28-Jul-25,Store1,Item1,66025.27736748959,2025-05-05,16827.62244106811
04-Aug-25,Store1,Item1,130474.64351403968,2025-05-06,16827.62244106811
11-Aug-25,Store1,Item1,65910.84732643914,2025-05-07,16827.62244106811
18-Aug-25,Store1,Item1,134559.19392634803,2025-05-08,16827.62244106811
25-Aug-25,Store1,Item1,90259.5797885438,2025-05-09,16827.62244106811
01-Sep-25,Store1,Item1,58746.75880081225,2025-05-10,16827.62244106811
08-Sep-25,Store1,Item1,59637.07647615739,2025-05-11,16827.62244106811
15-Sep-25,Store1,Item1,66952.1115552491,2025-05-12,17292.135948168798
22-Sep-25,Store1,Item1,78977.69570916849,2025-05-13,17292.135948168798
29-Sep-25,Store1,Item1,43592.441944198494,2025-05-14,17292.135948168798
06-Oct-25,Store1,Item1,38322.14732912329,2025-05-15,17292.135948168798
13-Oct-25,Store1,Item1,52228.43144124721,2025-05-16,17292.135948168798
20-Oct-25,Store1,Item1,48383.59344314317,2025-05-17,17292.135948168798
27-Oct-25,Store1,Item1,54220.92618445507,2025-05-18,17292.135948168798
03-Nov-25,Store1,Item1,45307.86402149397,2025-05-19,39403.22814808584
10-Nov-25,Store1,Item1,43075.75169343953,2025-05-20,39403.22814808584
17-Nov-25,Store1,Item1,35031.01220007194,2025-05-21,39403.22814808584
24-Nov-25,Store1,Item1,28117.133036421976,2025-05-22,39403.22814808584
01-Dec-25,Store1,Item1,31975.28025470037,2025-05-23,39403.22814808584
08-Dec-25,Store1,Item1,32721.41921546307,2025-05-24,39403.22814808584
15-Dec-25,Store1,Item1,39306.82915711814,2025-05-25,39403.22814808584
22-Dec-25,Store1,Item1,32859.59321284089,2025-05-26,35493.76075458675
29-Dec-25,Store1,Item1,29726.65203383301,2025-05-27,35493.76075458675
05-Jan-26,Store1,Item1,34419.60324842544,2025-05-28,35493.76075458675
12-Jan-26,Store1,Item1,33176.12931205683,2025-05-29,35493.76075458675
19-Jan-26,Store1,Item1,31773.55461869882,2025-05-30,35493.76075458675
26-Jan-26,Store1,Item1,43464.58388080812,2025-05-31,35493.76075458675
02-Feb-26,Store1,Item1,149945.3896348788,2025-06-01,35493.76075458675
09-Feb-26,Store1,Item1,47873.85653798666,2025-06-02,16196.924032976405
16-Feb-26,Store1,Item1,33273.36318712574,2025-06-03,16196.924032976405
23-Feb-26,Store1,Item1,39660.44745984757,2025-06-04,16196.924032976405
02-Mar-26,Store1,Item1,35684.29877851955,2025-06-05,16196.924032976405
09-Mar-26,Store1,Item1,43844.36836860673,2025-06-06,16196.924032976405
