SKU (Drug/Product Code),Batch/Lot Number,Product Name/Description,Category/Therapeutic Class,Quantity On Hand,Unit of Measure,Unit Cost/Value,Expiration Date,Manufacturing Date,Stock Status,Echelon/Location,Supplier/Vendor Info,Order Date,Delivery Date,Regulatory Status,Recall/Non-Compliance Flags,Certification Numbers/Compliance Codes,PO Number,Fulfillment Date,Stock Movement Type,Units Sold/Dispensed,Return Reason,Planned Lead Time (Days),Service Level (Fill Rate %),Forecasted Demand
SKU1000,BATCH40559,Ibuprofen 200mg,Analgesic,3486,tablets,3.03,2025-05-23,2023-07-17,quarantined,Plant A,MediSupply,2022-02-24,2022-03-20,pending,manufacturing deviation,CDSCO-345483,PO381216,2022-03-08,inbound,828,damaged,27,87.43,1005
SKU1001,BATCH79519,Metformin 500mg,Analgesic,4464,tablets,17.11,2025-04-15,2022-11-19,quarantined,Pharmacy Y,WellnessMed,2023-10-08,2023-10-13,pending,manufacturing deviation,EMA-877243,PO268521,2023-10-24,outbound,1411,wrong item,28,97.94,874
SKU1002,BATCH66874,Paracetamol 500mg,Antidiabetic,2893,vials,14.81,2023-09-28,2022-08-20,recalled,Plant A,CarePharma,2021-09-27,2021-10-15,restricted,labeling issue,CDSCO-835258,PO930164,2021-10-13,inbound,22,expired,21,85.34,1365
SKU1003,BATCH17047,Ibuprofen 200mg,PPI,2970,tablets,12.04,2025-06-09,2023-11-30,in stock,Hospital X,PharmaCorp,2022-03-02,2022-03-05,restricted,contamination,MHRA-795824,PO493378,2022-03-04,outbound,461,damaged,7,95.59,2320
SKU1004,BATCH51209,Amlodipine 5mg,Statin,2574,capsules,13.6,2024-10-08,2022-01-24,recalled,Hospital X,WellnessMed,2021-06-04,2021-06-05,approved,contamination,CDSCO-439071,PO467011,2021-06-10,outbound,1044,wrong item,26,80.13,681
SKU1005,BATCH35723,Losartan 50mg,Statin,1016,ml,9.62,2024-04-06,2022-05-23,in transit,Warehouse 1,CarePharma,2023-07-02,2023-07-27,approved,manufacturing deviation,MHRA-435612,PO213160,2023-07-28,outbound,1100,recalled,5,92.61,1027
SKU1006,BATCH27808,Ciprofloxacin 500mg,Analgesic,888,ml,4.25,2025-02-12,2022-05-29,recalled,CDC North,PharmaCorp,2023-04-11,2023-05-06,pending,manufacturing deviation,FDA-298917,PO222443,2023-04-24,outbound,1239,wrong item,18,80.12,3650
SKU1007,BATCH74560,Amlodipine 5mg,Antihypertensive,1462,ml,1.39,2026-02-22,2023-06-08,in stock,Pharmacy Y,WellnessMed,2023-02-03,2023-03-03,pending,none,TGA-310028,PO594005,2023-02-06,outbound,377,,11,98.82,2189
SKU1008,BATCH53195,Cetirizine 10mg,Antipyretic,2768,ml,12.96,2023-10-01,2022-11-10,recalled,Hospital X,CarePharma,2023-04-22,2023-04-30,restricted,labeling issue,CDSCO-616221,PO939474,2023-05-19,inbound,1235,recalled,8,99.1,603
SKU1009,BATCH19418,Paracetamol 500mg,Antihistamine,1973,vials,15.53,2024-07-19,2023-08-17,in stock,CDC North,MediSupply,2021-08-13,2021-08-16,restricted,manufacturing deviation,CDSCO-936289,PO206340,2021-08-15,outbound,1336,damaged,24,81.4,422
SKU1010,BATCH78271,Paracetamol 500mg,PPI,4113,capsules,10.95,2026-01-03,2023-09-01,recalled,Pharmacy Y,CarePharma,2023-10-28,2023-10-29,restricted,manufacturing deviation,TGA-386519,PO257701,2023-11-11,outbound,437,damaged,5,95.79,4932
